Chapter,ID,People/Event
14,people_51dc30ddc473d43a6011e9ebba6ca770,peter
14,people_b30bd351371c686298d32281b337e8e9,simon
15,people_dd22141acb5ea065acd5ed773729c98f,alexander
15,people_715b2ada18d6074c62d1f50249b59f0a,barabbas
15,people_a6ebe407fa6e2337cb2deb573d17791e,elijah
15,people_a4757d7419ff3b48e92e90596f0e7548,god
15,people_b4cc344d25a2efe540adbf2678e2304c,james
15,people_110d46fcd978c24f306cd7fa23464d73,jesus
15,people_cb07901c53218323c4ceacdea4b23c98,joseph
15,people_e6bbdd09808abe57246c0d557c5337fe,joses
15,people_76be805e417ee2cadea26456a6d9e0e7,mary of jesus
15,people_b11b7c10d594825ffd23426c16ce6322,mary of john mark
15,people_17868be5cd81796d9423432b4e530f39,pilate
15,people_3a2967f3d7e135a55d8bb158e61d95d4,rufus
15,people_d71a104f87c82c79b6001afbf74c3e88,salome
15,people_b30bd351371c686298d32281b337e8e9,simon
16,people_a4757d7419ff3b48e92e90596f0e7548,god
16,people_b4cc344d25a2efe540adbf2678e2304c,james
16,people_110d46fcd978c24f306cd7fa23464d73,jesus
16,people_c9df37833cbbe75677a039628a8af1ec,mary 1940
16,people_49a9174b0db12bb87290d1c43795b6c4,mary 1943
16,people_51dc30ddc473d43a6011e9ebba6ca770,peter
16,people_d71a104f87c82c79b6001afbf74c3e88,salome
