personID,displayTitle,name,surname,memberOf
menan_1997,Menan,Menan,,"Tribe of Judah, Genealogy of Jesus"
methuselah_2042,Methuselah,Methuselah,,Genealogy of Jesus
moses_2108,Moses,Moses,,Tribe of Levi
mother_of_the_wife_of_simon_2111,Mother of the Wife of Simon,Mother of the Wife of Simon,,
naaman_2122,Naaman,Naaman,,
nagge_2132,Nagge,Nagge,,"Tribe of Judah, Genealogy of Jesus"
nahor_2142,Nahor (father of Terah),Nahor,,Genealogy of Jesus
nahshon_2144,Nahshon,Nahshon,,"Tribe of Judah, Genealogy of Jesus"
nathan_2152,Nathan,Nathan,,"Tribe of Judah, Genealogy of Jesus"
naum_2160,Naum,Naum,,"Tribe of Judah, Genealogy of Jesus"
neri_2185,Neri,Neri,,"Tribe of Judah, Genealogy of Jesus"
noah_2210,Noah,Noah,,Genealogy of Jesus
obed_2228,Obed,Obed,,"Tribe of Judah, Genealogy of Jesus"
peleg_2308,Peleg,Peleg,,Genealogy of Jesus
phanuel_2327,Phanuel,Phanuel,,
pharez_2338,Pharez,Pharez,,"Tribe of Judah, Genealogy of Jesus"
philip_2345,Philip,Philip,,
philip_2346,Philip,Philip,,
philip_2344,Phillip the Apostle,Philip,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
pilate_2365,Pontius Pilate,Pontius,Pilate,
ram_2391,Ram,Ram,,"Tribe of Judah, Genealogy of Jesus"
reu_2428,Reu,Reu,,Genealogy of Jesus
rhesa_2438,Rhesa,Rhesa,,"Tribe of Judah, Genealogy of Jesus"
salah_2455,Salah,Salah,,Genealogy of Jesus
salathiel_2457,Salathiel,Salathiel,,"Tribe of Judah, Genealogy of Jesus"
salmon_2463,Salmon,Salmon,,"Tribe of Judah, Genealogy of Jesus"
satan_2476,Satan,Satan,,
semei_2488,Semei,Semei,,"Tribe of Judah, Genealogy of Jesus"
serug_2503,Serug,Serug,,Genealogy of Jesus
seth_2504,Seth,Seth,,Genealogy of Jesus
shem_2613,Shem,Shem,,Genealogy of Jesus
simeon_2742,Simeon,Simeon,,
simeon_2743,Simeon,Simeon,,"Tribe of Judah, Genealogy of Jesus"
simon_2750,Simon,Simon,Iscariot,
simon_2749,Simon,Simon,,
peter_2745,Simon Peter,Simon,Peter,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
simon_2746,Simon Zelotes,Simon,Zelotes,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
solomon_2762,Solomon,Solomon,,"Tribe of Judah, Genealogy of Jesus"
susanna_2804,Susanna,Susanna,,
terah_2841,Terah,Terah,,Genealogy of Jesus
theophilus_2849,Theophilus,Theophilus,,
thomas_2851,Thomas,Thomas,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
tiberius_2852,Tiberius,Tiberius,,
wife_of_simon_2943,Wife of Simon,Wife of Simon,,
zacchaeus_2961,Zacchaeus,Zacchaeus,,
zacharias_3011,Zacharias,Zacharias,,
zacharias_2971,Zacharias,Zacharias,,
zebedee_2998,Zebedee,Zebedee,,
zorobabel_3106,Zorobabel,Zorobabel,,"Tribe of Judah, Genealogy of Jesus"
