event,lista persone nell'evento,quante volte compaiono,Capitolo
Apostles Chosen,simon_2746,1,6
Apostles Chosen,lebbaeus_1815,1,6
Apostles Chosen,judas_1760,1,6
Healing Multitudes,,,6
Healing Multitudes,,,6
Healing Multitudes,,,6
Sermon on the Mount,god_1324,2,6
Sermon on the Mount,jesus_905,2,6
Healing Centurion's Servant,jesus_905,4,7
Widow's Son Resurrected,jesus_905,1,7
Widow's Son Resurrected,god_1324,1,7
Jesus' Message on John the Baptist,john_1676,8,7
Jesus' Message on John the Baptist,jesus_905,4,7
Jesus' Message on John the Baptist,god_1324,3,7
Anointed by a Sinner Woman,jesus_905,1,7
Anointed by a Sinner Woman,simon_2750,3,7
Jesus' 2nd Tour of Galilee,god_1324,1,8
Jesus' 2nd Tour of Galilee,mary_1943,1,8
Jesus' 2nd Tour of Galilee,joanna_1629,1,8
Jesus' 2nd Tour of Galilee,chuza_945,1,8
Jesus' 2nd Tour of Galilee,heber_1469,1,8
Jesus' 2nd Tour of Galilee,susanna_2804,1,8
Seaside Parables and Miracle,god_1324,2,8
Blind and Dumb Demoniac and Following Discourse,god_1324,1,8
Seaside Parables and Miracle,jesus_905,1,8
Gadarene Demoniacs,god_1324,2,8
Gadarene Demoniacs,jesus_905,5,8
Capernaum Miracles,jesus_905,4,8
Capernaum Miracles,jairus_711,1,8
Capernaum Miracles,peter_2745,1,8
3rd Tour of Galilee,god_1324,1,9
John Beheaded,herod_1505,2,9
John Beheaded,john_1676,2,9
John Beheaded,elijah_1131,1,9
Feeding of Five Thousand,god_1324,1,9
"Peter's Confession ""Upon this Rock""",john_1676,1,9
"Peter's Confession ""Upon this Rock""",elijah_1131,1,9
"Peter's Confession ""Upon this Rock""",peter_2745,1,9
"Peter's Confession ""Upon this Rock""",god_1324,1,9
"Peter's Confession ""Upon this Rock""",jesus_905,1,9
Seaside Parables and Miracle,jesus_905,6,9
Seaside Parables and Miracle,god_1324,2,9
,jesus_905,12,10
,god_1324,5,10
,satan_2476,1,10
,martha_1937,3,10
,mary_1939,2,10
Blind and Dumb Demoniac and Following Discourse,satan_2476,3,11
Blind and Dumb Demoniac and Following Discourse,god_1324,2,11
Blind and Dumb Demoniac and Following Discourse,jonah_1689,3,11
Blind and Dumb Demoniac and Following Discourse,jesus_905,1,11
Blind and Dumb Demoniac and Following Discourse,solomon_2762,2,11
,jesus_905,7,11
,holy_spirit_7400,1,11
,zacharias_3011,1,11
,john_1676,6,11
,god_1324,24,11
,abel_13,6,11
,god_1324,10,12
,holy_spirit_7400,2,12
,solomon_2762,1,12
,jesus_905,2,12
,pilate_2365,1,13
,jesus_905,8,13
,god_1324,5,13
,abraham_58,2,13
,satan_2476,1,13
,isaac_616,1,13
,israel_682,1,13
,herod_1505,1,13
,josiah_1731,1,13
,jesus_905,2,14
,god_1324,1,14
,god_1324,4,15
,jesus_905,1,15
,god_1324,4,16
,john_1676,1,16
,lazarus_1811,4,16
,abraham_58,6,16
,jesus_905,1,16
,moses_2108,2,16
,jesus_905,8,17
,god_1324,4,17
,noah_2210,2,17
,lot_1830,3,17
,god_1324,12,18
,jesus_905,13,18
,peter_2745,1,18
,david_994,2,18
,zacchaeus_2961,3,19
,jesus_905,13,19
,abraham_58,1,19
,god_1324,2,19
,john_1676,12,20
,jesus_905,5,20
,god_1324,8,20
